en	hu
English	Hungarian
lat	lat
0123456789!()\/_:&*%	0123456789!()\/_:&*%
place_your_(translator)_name_here	helyezze_a_(fordító)_nevét_ide
<!-- Basic names (objects and buttons) -->																																													
Buy	megvesz
Back to menu	Vissza a menübe
Settings	Beállítások
Play	Játék
Shop	Üzlet
Coins:	Érmék:
Exit	Kijárat
Set the level	Állítsa be a szintet
Sell All	Mindent eladni
Details:	Részletek:
Double coins!{#}(Watch Ad)	Dupla érmék!{#}(Hirdetés megtekintése)
Restart	Újrakezd
Advertisement watched	Megnézték a reklámot
Received coins:	Kapott érmék:
Sound volume	Hangerő
next	következő
Tower crane	Toronydaru
Workshop	Műhely
Hydraulic fence	Hidraulikus kerítés
Sorting of details	Részletek rendezése
Waterproofing	Vízszigetelés
Preprocessing	Előfeldolgozás
Equipment calibration	Berendezés kalibrálása
Cooling system	Hűtőrendszer
Magnets	Mágnesek
Increase field size: {#price}	Mező méretének növelése: {#price}
See story	Lásd a történetet
Pause	Szünet
End round	Vége a körnek
Continue	Folytatni
End saved game, and start a new one	Fejezze be a mentett játékot, és indítson újat
Tutorials	Oktatóanyagok
Basic	Alapvető
Fence	Kerítés
Crane	Daru
Workshop	Műhely
Before	Előtt
Now	Most
Next	Következő
Max detail:	Maximális részlet:
Bolt	Csavar
Gear	Felszerelés
Gear box	Sebességváltó
Bearing	Csapágy
Piston	Dugattyú
Engine	Motor
Moped	Moped
Motorcycle	Motorbicikli
Car	Autó
Pickup	Felvenni
Truck	Kamion
Biplane	Duplaszárnyú repülőgép
Helicopter	Helikopter
Plane	Repülőgép
AN-225 Mriya	AN-225 Mriya
Rocket engine	Rakéta motor
Soyuz	Szojuz
Rocket	Rakéta
<!-- Tutorials -->																																													
Hello and welcome to 'Recycling: 2048'! Are you ready for some challenge? In this tutorial you'll learn the base needed for recycling, but some features you only can find by yourself!	Üdvözöljük az „Újrahasznosítás: 2048”-ban! Készen állsz egy kihívásra? Ebben az oktatóanyagban megismerheti az újrahasznosítás alapjait, de néhány funkciót csak egyedül találhat meg!
There are 4 magnets around the field (orange objects). You can activate them by swiping (move your finger on the screen). They can move any magnetic materials - perfect for the details we work with! Give it a try by moving an object (like the bolt) three times.	A mező körül 4 mágnes található (narancssárga tárgyak). Csúsztatással aktiválhatja őket (mozgassa az ujját a képernyőn). Bármilyen mágneses anyagot képesek mozgatni – tökéletes azokhoz a részletekhez, amelyekkel dolgozunk! Próbálja meg úgy, hogy háromszor mozgat egy tárgyat (például a csavart).
A new detail has appeared: a bolt. While some might see it as garbage, we can recycle it into something more advanced, like a gear!	Megjelent egy új részlet: egy csavar. Bár egyesek szemétnek tekintik, újrahasznosíthatjuk valami fejlettebb eszközben, például egy fogaskerékben!
Recycle two bolts into a gear by moving them together.	Hasznosítson újra két csavart egy fogaskerékbe úgy, hogy egymáshoz mozgatja őket.
Fantastic! You've just recycled some garbage! Keep it up, and together we can reach our goal of creating a better life.	Fantasztikus! Most újrahasznosítottál egy kis szemetet! Csak így tovább, és együtt elérhetjük célunkat, egy jobb élet megteremtését.
Oh, no, the magnet has broken! :({#} You see, the right magnet is red now.	Ó, nem, eltört a mágnes! :({#} Látod, a jobb mágnes most piros.
Try activating the right magnet a few times and see that nothing happens. (Swipe to the right)	Próbálja meg néhányszor aktiválni a megfelelő mágnest, és ellenőrizze, hogy semmi sem történik. (Csúsztasson jobbra)
You see, nothing happened. Now try swiping in different directions (up and down). Let's wait until the magnet repairs itself.	Látod, nem történt semmi. Most próbáljon különböző irányokba csúsztatni (fel és le). Várjuk meg, amíg a mágnes megjavítja magát.
Done! After several moves, all magnets will be repaired.	Kész! Több mozdulat után minden mágnes megjavításra kerül.
Now, let's talk about bio garbage (the apple leftover). Try moving it.	Most beszéljünk a bioszemétről (az almamaradékról). Próbáld meg mozgatni.
Because bio garbage lacks magnetic materials, magnets can't move it.	Mivel a bioszemétből hiányoznak a mágneses anyagok, a mágnesek nem tudják mozgatni.
Don't forget to sort your garbage! :)	Ne felejtse el válogatni a szemetet! :)
This is a rust garbage. It can't be recycled either. The number indicates how much time it needs to rust away and disappear.	Ez egy rozsdaszemét. újrahasznosítani sem lehet. A szám azt jelzi, hogy mennyi időre van szüksége ahhoz, hogy rozsdásodjon és eltűnjön.
Amazing! You've improved your recycling skills!	Elképesztő! Fejleszted az újrahasznosítási készségeidet!
Congratulations on acquiring the workshop! Let's dive into a quick tutorial on how to make the most of it.	Gratulálunk a műhely megszerzéséhez! Ugorjunk bele egy gyors oktatóanyagba, hogyan hozhatjuk ki a legtöbbet belőle.
Combine simple details instantly from all fields using the workshop. Give it a try now!	A műhely segítségével azonnal kombinálhatja az egyszerű részleteket minden területről. Próbáld ki most!
It's pretty cool, right? Just keep in mind the cooldown. It takes some time, so use it wisely!	Nagyon klassz, igaz? Csak tartsa szem előtt a lehűlést. Időbe telik, használd okosan!
Be cautious when there's only one detail available for the workshop. It won't be able to combine it and will just return the item back.	Legyen óvatos, ha csak egy részlet áll rendelkezésre a műhelyhez. Nem fogja tudni kombinálni, és csak visszaküldi az elemet.
So, just use it carefully.	Tehát csak óvatosan használja.
The workshop shines when you're surrounded by annoying simple details. It's the perfect tool to tidy up your space efficiently!	A műhely ragyog, ha bosszantó egyszerű részletek vesznek körül. Ez a tökéletes eszköz a hely hatékony rendbetételéhez!
Congratulations on purchasing the crane! Here's a brief tutorial on how to work with it.	Gratulálunk a daru megvásárlásához! Íme egy rövid útmutató a vele való munkavégzésről.
To use the crane, simply tap on the icon. Now, you've entered CRANE mode.	A daru használatához egyszerűen érintse meg az ikont. Most belépett a CRANE módba.
In CRANE mode, choose an item on the field that you'd like to interact with.	DRU módban válasszon egy elemet a mezőn, amellyel kapcsolatba szeretne lépni.
Next, select an empty field where you want to move the chosen item.	Ezután válasszon ki egy üres mezőt, ahová a kiválasztott elemet át kívánja helyezni.
Now, press on the crane once more to execute the action.	Most nyomja meg még egyszer a darut a művelet végrehajtásához.
As you upgrade, you'll gain the ability to change not only to empty fields but also swap them with other items.	A frissítés során nemcsak üres mezőkre válthat, hanem más elemekkel is cserélheti őket.
Don't be afraid to experiment! If you encounter an error, the game will provide an indication. {#}Try to cause an error (e.g., click on 2 empty cells).	Ne félj kísérletezni! Ha hibát észlel, a játék jelzést ad. {#}Próbáljon hibát okozni (pl. kattintson 2 üres cellára).
This is the error indication.	Ez a hibajelzés.
And last, but not least, try deselecting. To do so, press on the previously selected item, or on the crane (if you haven't selected the second cell yet).	És végül, de nem utolsósorban, próbálja meg megszüntetni a kijelölést. Ehhez nyomja meg az előzőleg kiválasztott elemet, vagy a darut (ha még nem jelölte ki a második cellát).
Congratulations on upgrading your fence! Let's see what it is capable of now.	Gratulálunk kerítésének korszerűsítéséhez! Lássuk most mire képes.
To use the fence, click on one of the blue (cyan) objects around the field.	A kerítés használatához kattintson a mező körüli kék (ciánkék) objektumok egyikére.
Swipe the chosen object(s) towards the fence you've initiated.	Csúsztassa el a kiválasztott objektumot az általad kezdeményezett kerítés felé.
Fences usually need some time before you can use them again, so plan your moves accordingly.	A kerítéseknek általában időre van szükségük, mielőtt újra használhatják őket, ezért ennek megfelelően tervezze meg a mozgását.
The hydraulic fence is a game-changer—it can handle all sorts of garbage, even non-magnetic ones.	A hidraulikus kerítés megváltoztatja a játékot – mindenféle szemetet képes kezelni, még a nem mágneseseket is.
It's your go-to tool for bio-garbage removal. Give it a shot!	Ez az Ön által használt eszköz a bioszemét eltávolításához. Próbáld meg!
You just bought one upgrade, that is ~10% of waht is needed for increasing field size!	Most vettél egy frissítést, vagyis a waht ~10%-a szükséges a táblaméret növeléséhez!
Keep up! :D	Tarts lépést! :D
<!-- Some tips in shop -->																																													
You will recive organic waste with probabiliy of {#prob}%	{#prob}% valószínűséggel kap szerves hulladékot
You will recive rust debris with probabiliy of {#prob}%	{#prob}% valószínűséggel rozsdatörmeléket fog kapni
The probability of obtaining an improved detail is {#prob}%	A jobb részlet megszerzésének valószínűsége {#prob}%
The probability of successfully merging two details is approximately {#prob}%	Két részlet sikeres egyesítésének valószínűsége körülbelül {#prob}%
Magnets will break with a probability of {#prob}%	A mágnesek eltörnek {#prob}% valószínűséggel
More details will drop on the field after {#move} moves	További részletek {#move} lépés után jelennek meg a mezőben
No Workshop	Nincs Műhely
Collects {#cell1}. Cooldown time:	Összegyűjti a {#cell1} elemet. Lehűlési idő:
Collects {#cell1} and {#cell2}. Cooldown time:	Összegyűjti a {#cell1} és a {#cell2} elemet. Lehűlési idő:
No Crane	Nincs daru
Move items up to {#cell3}.	Elemek áthelyezése a következő helyre: {#cell3}.
Move items up to {#cell6}.	Elemek áthelyezése a következő helyre: {#cell6}.
Move items up to {#cell6}, and swap them with items up to {#cell2}.	Helyezze át az elemeket {#cell6}-ig, és cserélje le őket {#cell2}-ig.
Move items up to {#cell11}, and swap them with items up to {#cell6}.	Helyezze át az elemeket {#cell11}-ig, és cserélje fel őket {#cell6} elemig.
Move anything and swap it with items up to {#cell9}.	Vigyen át bármit, és cserélje fel {#cell9} elemig.
Move and swap anything!	Költözz és cserélj bármit!
Simple fence	Egyszerű kerítés
Available again after following number of moves: {#move}	A következő számú mozdulat után újra elérhető: {#move}
Details failed to merge!	A részleteket nem sikerült egyesíteni!
Warning! Languages besides English could have some errors (and English also, lol)	Figyelem! Az angolon kívül más nyelveken is lehetnek hibák (és az angolban is, lol)
The game was saved. You can exit, and resume it later	A játékot megmentették. Kiléphet, és később folytathatja
<!-- Description (items in shop) -->																																													
A crane is a tool that allows you to relocate objects on the field. The basic version works only by dragging light objects to an empty place. With upgrades, you can drag more complex items, and even swap two objects. To use it, click on the crane icon, select the object, and select a place, where you want to place it.	A daru olyan eszköz, amely lehetővé teszi tárgyak áthelyezését a területen. Az alapverzió csak a könnyű tárgyak üres helyre húzásával működik. A frissítésekkel bonyolultabb elemeket is áthúzhat, és akár két objektumot is felcserélhet. Használatához kattintson a daru ikonra, válassza ki az objektumot, és válassza ki a helyet, ahová el szeretné helyezni.
Tired of simple parts messing around with your advanced builds? Use the workshop!{#}Workshop - a small separated building where manual processing of simple parts is possible. The higher the level of the workshop, the more parts it can process. Also, the improvement allows you to use it more often.{#}To use, click on the workshop icon unless it is on cooldown.	Belefáradt az egyszerű alkatrészek kavarodásába a haladó építmények között? Használja a műhelyt!{#}Műhely – egy kis különálló épület, ahol egyszerű alkatrészek kézi feldolgozása lehetséges. Minél magasabb szintű a műhely, annál több alkatrészt tud feldolgozni. Ezenkívül a fejlesztés lehetővé teszi, hogy gyakrabban használja.{#}A használatához kattintson a műhely ikonjára, hacsak nincs lehűlés alatt.
Did you see that thing around your field corners? How about making it useful? Improve your fence by adding the ability to open it!{#}Allows you to get rid of non-mechanical debris. Further improvements to the pumps are possible, allowing the use of the hydraulic fence more frequently.{#}To use, click on the desired section of the fence, and pull the parts in that direction. All parts in the row where the fence is open will be thrown away. Remember: safety first!	Láttad ezt a dolgot a pálya sarkain? Mit szólnál ahhoz, hogy hasznos legyen? Javítsa kerítését a nyitási lehetőség hozzáadásával!{#}Lehetővé teszi, hogy megszabaduljon a nem mechanikai törmeléktől. A szivattyúkon további fejlesztések lehetségesek, lehetővé téve a hidraulikus kerítés gyakrabban történő használatát.{#}A használathoz kattintson a kerítés kívánt szakaszára, és húzza az alkatrészeket abba az irányba. A sor minden alkatrésze, ahol a kerítés nyitva van, kidobásra kerül. Ne feledje: a biztonság az első!
Unfortunately, not everyone is responsible for sorting waste. Sometimes containers with garbage come across wood pieces, waste, and other ordinary garbage.{#}Install additional sorting equipment and reduce the percentage of non-mechanical debris down to zero.	Sajnos nem mindenki felelős a hulladékválogatásért. Néha a szemetet tartalmazó konténerek fadarabokkal, hulladékkal és egyéb közönséges szeméttel találkoznak.{#}Telepítsen további válogatóberendezéseket, és csökkentse nullára a nem mechanikai törmelék százalékos arányát.
Global climate change, and even in the desert rains have become common. Perhaps for someone, it is even useful, but some parts can rust, making it impossible to recycle them. Strengthening of waterproofing reduces the likelihood of corrosion of parts.	A globális klímaváltozás, sőt a sivatagban is általánossá vált az esőzés. Lehet, hogy valakinek még hasznos is, de egyes részek rozsdásodhatnak, így lehetetlenné válik az újrahasznosítás. A vízszigetelés megerősítése csökkenti az alkatrészek korróziójának valószínűségét.
Want to speed up the recycling process? Add a pre-assembly unit to your transporter! With it installed, some dropped parts will be more advanced.{#}This upgrade is mandatory, if you want to increase the size of your field.	Szeretné felgyorsítani az újrahasznosítási folyamatot? Adjon hozzá egy előszerelő egységet a szállítóhoz! Telepítésével egyes leejtett részek fejlettebbek lesznek.{#}Ez a frissítés kötelező, ha növelni szeretné a mező méretét.
Nothing is perfect. It also applies to the assembly process. Have you noticed, that sometimes parts break during merging? Fortunately, I can assure you, that it affects only the assembly of engine - more complicated parts are no problem. But still annoying, right?{#}But you can make this process more reliable, by calibrating your equipment.{#}This upgrade is mandatory, if you want to increase the size of your field.	Semmi sem tökéletes. Ez vonatkozik az összeszerelési folyamatra is. Észrevetted, hogy az egyesítés során néha eltörnek az alkatrészek? Szerencsére biztosíthatom, hogy ez csak a motor összeszerelését érinti - a bonyolultabb alkatrészek nem okoznak gondot. De még mindig bosszantó, igaz?{#}De ezt a folyamatot megbízhatóbbá teheti a berendezés kalibrálásával.{#}Ez a frissítés kötelező, ha növelni szeretné a mező méretét.
Pros of stacking items in deserts - they don't rust much in dry environments. Cons - it can be really hot here.{#}The more you work, the more time you need to wait between each recycling, allowing your equipment to return to an appropriate temperature. It leads to more items accumulating between your moves. You can upgrade the cooling system, providing yourself a longer time for recycling.{#}This upgrade is mandatory, if you want to increase the size of your field.	A tárgyak sivatagban történő egymásra rakásának előnyei – száraz környezetben nem nagyon rozsdásodnak. Hátrányok – itt nagyon meleg lehet.{#}Minél többet dolgozik, annál több időt kell várnia az egyes újrahasznosítások között, hogy a berendezés visszatérjen a megfelelő hőmérsékletre. Ez ahhoz vezet, hogy több tárgy halmozódik fel a mozdulatok között. Frissítheti a hűtőrendszert, így hosszabb időt biztosít az újrahasznosításra.{#}Ez a frissítés kötelező, ha meg szeretné növelni a terület méretét.
DIY electromagnets can sometimes fail. Improve them, to reduce malfunctions.{#}This upgrade is mandatory, if you want to increase the size of your field.	A barkács elektromágnesek néha meghibásodhatnak. Javítsa őket a meghibásodások csökkentése érdekében.{#}Ez a frissítés kötelező, ha meg szeretné növelni a mező méretét.
Have you ever asked yourself, why do I have so small field? Isn't it inconvenient to work with big builds? The solution is simple - expand your field size! {#}Note, that before expanding, you need to make sure that the following upgrades are fully purchased: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} and {#cooling_system}.	Feltetted már magadnak a kérdést, hogy miért van ilyen kicsi a mezőm? Nem kényelmetlen nagy építményekkel dolgozni? A megoldás egyszerű – bővítse ki a mező méretét! {#}Ne feledje, hogy a bővítés előtt meg kell győződnie arról, hogy a következő frissítéseket teljesen megvásárolta: {#equipment_calibration}, {#magnets}, {#preprocessing_of_details} és {#cooling_system}.
<!-- And some more texts -->																																													
The level size you're have selected in main manu, is differ form your saved game. You can end seved game and start a new one, if you want.{#}What do you want to do with the saved game?	A fő manuálisban kiválasztott szintméret eltér a mentett játéktól. Ha akarja, leállíthatja a leválasztott játékot, és elindíthat egy újat.{#}Mit szeretne csinálni a mentett játékkal?
A junkyard in the middle of a desert. You could say it's the perfect place to store metal scraps - lots of free space and dry weather. Though not anymore. In the year 2048 the weather has gone really mad.{#}I didn't choose to spend my life here. I'm not rich, and the borders are closed for people like me. When I was a child, I dreamt of conquering space. And now, I find myself stuck in the middle of nowhere.{#}So the only option is to work. And I never refuse help, I'm happy to find you here. With you I know, someday I will make it to space.{#}So, how about this: we work together, recycle as many parts as we can, and help each other make our lives better. Deal?	Egy roncsvadászat a sivatag közepén. Mondhatnánk, hogy tökéletes hely a fémhulladék tárolására - sok szabad hely és száraz időjárás. Bár már nem. Az időjárás 2048-ban valóban megőrült.{#}Nem választottam, hogy itt éljem az életemet. Nem vagyok gazdag, és az országhatárok zárva vannak azok számára, mint én. Gyermekként arról álmodoztam, hogy meghódítom az űrt. És most, itt ragadtam középső semmiben.{#}Tehát az egyetlen lehetőség dolgozni. És soha nem utasítom vissza a segítséget, örömmel látlak itt. Veled tudom, hogy egyszer eljutok az űrbe.{#}Szóval, mit szólsz ehhez: dolgozzunk együtt, újrahasznosítsuk annyi alkatrészt, amennyit csak lehet, és segítsünk egymásnak jobbá tenni az életünket. Megállapodtunk?
You just finished the game!{#}Usaly developers place here a long list of workers' names. But this game was developed only by me (Gleb The Polar Citizen).{#}I want to thank my wife, give a special thank to Anna M. for the asweme car, and to all the translators!!{#}If you want, you can continue playing this game or look for other games I developed!{#}Stay strong!	Most fejezted be a játékot!{#}A fejlesztők általában hosszú listát tesznek ide a dolgozók nevéről. De ezt a játékot csak én fejlesztettem (Gleb The Polar Citizen).{#}Szeretnék köszönetet mondani a feleségemnek, külön köszönetet mondani Anna M.-nek a fantasztikus autóért, és az összes fordítónak!{#}Ha akarod , folytathatja ezzel a játékkal, vagy kereshet más általam fejlesztett játékokat!{#}Maradjon erős!
<!-- Yet unused texts (could be used in the future) -->																																													
No ads	Nincsenek hirdetések
You can buy this upgrade for the removal of basic ads.{#}It will not affect revard ads!{#}The button for doubling scores will still be available. So it will affect only ads, that are appearing after the game.{#}Also, I you just searching for a way to support me, better consider visiting buymeacoffe — the heart button, located with media buttons.	Ezt a frissítést megvásárolhatja az alapvető hirdetések eltávolításához.{#}Nem lesz hatással a jutalomhirdetésekre!{#}A pontszámok megduplázására szolgáló gomb továbbra is elérhető lesz. Tehát csak a játék után megjelenő hirdetésekre lesz hatással.{#}Ha pedig csak a támogatásom módját keresed, érdemesebb meglátogatnod a buymeacoffe-t – a szívgombot, amely a médiagombokkal együtt található.
